date;births
1968-06-03;2215
1968-06-04;2206
1968-06-05;2323
1968-06-06;2412
1968-06-07;2329
1968-06-08;2255
1968-06-09;2243
1968-06-10;2284
1968-06-11;2347
1968-06-12;2321
1968-06-13;2301
1968-06-14;2303
1968-06-15;2404
1968-06-16;2337
1968-06-17;2394
1968-06-18;2441
1968-06-19;2461
1968-06-20;2394
1968-06-21;2224
1968-06-22;2338
1968-06-23;2209
1968-06-24;2402
1968-06-25;2423
1968-06-26;2447
1968-06-27;2475
1968-06-28;2444
1968-06-29;2497
1968-06-30;2330
1968-07-01;2557
1968-07-02;2636
1968-07-03;2363
1968-07-04;2221
1968-07-05;2283
1968-07-06;2401
1968-07-07;2117
1968-07-08;2369
1968-07-09;2430
1968-07-10;2440
1968-07-11;2344
1968-07-12;2213
1968-07-13;2309
1968-07-14;2211
1968-07-15;2177
1968-07-16;2217
1968-07-17;2355
1968-07-18;2303
1968-07-19;2280
1968-07-20;2269
1968-07-21;2126
1968-07-22;2316
1968-07-23;2341
1968-07-24;2359
1968-07-25;2280
1968-07-26;2257
1968-07-27;2255
1968-07-28;2130
1968-07-29;2325
1968-07-30;2331
1968-07-31;2329
1968-08-01;2386
1968-08-02;2248
1968-08-03;2218
1968-08-04;2000
1968-08-05;2214
1968-08-06;2257
1968-08-07;2218
1968-08-08;2204
1968-08-09;2295
1968-08-10;2239
1968-08-11;2164
1968-08-12;2249
1968-08-13;2274
1968-08-14;2217
1968-08-15;2136
1968-08-16;2279
1968-08-17;2165
1968-08-18;2099
1968-08-19;2123
1968-08-20;2227
1968-08-21;2305
1968-08-22;2342
1968-08-23;2373
1968-08-24;2153
1968-08-25;2106
1968-08-26;2278
1968-08-27;2339
1968-08-28;2326
1968-08-29;2218
1968-08-30;2202
1968-08-31;2173
1968-09-01;2072
1968-09-02;2255
1968-09-03;2277
1968-09-04;2303
1968-09-05;2234
1968-09-06;2292
1968-09-07;2332
1968-09-08;2144
1968-09-09;2339
1968-09-10;2411
1968-09-11;2238
1968-09-12;2175
1968-09-13;2331
1968-09-14;2441
1968-09-15;2273
1968-09-16;2479
1968-09-17;2348
1968-09-18;2247
1968-09-19;2331
1968-09-20;2388
1968-09-21;2395
1968-09-22;2245
1968-09-23;2408
1968-09-24;2419
1968-09-25;2378
1968-09-26;2307
1968-09-27;2289
1968-09-28;2317
1968-09-29;2185
1968-09-30;2340
1968-10-01;2343
1968-10-02;2299
1968-10-03;2278
1968-10-04;2374
1968-10-05;2243
1968-10-06;2115
1968-10-07;2247
1968-10-08;2227
1968-10-09;2258
1968-10-10;2211
1968-10-11;2318
1968-10-12;2220
1968-10-13;2055
1968-10-14;2247
1968-10-15;2155
1968-10-16;2189
1968-10-17;2119
1968-10-18;2073
1968-10-19;2227
1968-10-20;1949
1968-10-21;2136
1968-10-22;2177
1968-10-23;2111
1968-10-24;2226
1968-10-25;2167
1968-10-26;2108
1968-10-27;1990
1968-10-28;2111
1968-10-29;2133
1968-10-30;2202
1968-10-31;2165
1968-11-01;1998
1968-11-02;2129
1968-11-03;1933
1968-11-04;2155
1968-11-05;2133
1968-11-06;2139
1968-11-07;2158
1968-11-08;2198
1968-11-09;2106
1968-11-10;1878
1968-11-11;1983
1968-11-12;2109
1968-11-13;2108
1968-11-14;2245
1968-11-15;2111
1968-11-16;2132
1968-11-17;1932
1968-11-18;2255
1968-11-19;2135
1968-11-20;2097
1968-11-21;2174
1968-11-22;2163
1968-11-23;2224
1968-11-24;2022
1968-11-25;2190
1968-11-26;2197
1968-11-27;2175
1968-11-28;2131
1968-11-29;2181
1968-11-30;2105
1968-12-01;2036
1968-12-02;2161
1968-12-03;2147
1968-12-04;2170
1968-12-05;2074
1968-12-06;2311
1968-12-07;2109
1968-12-08;1999
1968-12-09;2183
1968-12-10;2212
1968-12-11;2130
1968-12-12;2111
1968-12-13;2020
1968-12-14;2244
1968-12-15;1990
1968-12-16;2366
1968-12-17;2258
1968-12-18;2275
1968-12-19;2133
1968-12-20;2080
1968-12-21;2202
1968-12-22;1990
1968-12-23;2086
1968-12-24;2079
1968-12-25;1965
1968-12-26;2148
1968-12-27;2150
1968-12-28;2186
1968-12-29;2142
1968-12-30;2278
1968-12-31;2048
1969-01-01;2014
1969-01-02;2076
1969-01-03;2276
1969-01-04;2178
1969-01-05;2125
1969-01-06;2436
1969-01-07;2427
1969-01-08;2178
1969-01-09;2269
1969-01-10;2275
1969-01-11;2247
1969-01-12;2247
1969-01-13;2387
1969-01-14;2433
1969-01-15;2289
1969-01-16;2318
1969-01-17;2349
1969-01-18;2343
1969-01-19;2159
1969-01-20;2246
1969-01-21;2292
1969-01-22;2292
1969-01-23;2228
1969-01-24;2336
1969-01-25;2358
1969-01-26;2075
1969-01-27;2320
1969-01-28;2324
1969-01-29;2343
1969-01-30;2245
1969-01-31;2233
1969-02-01;2263
1969-02-02;2045
1969-02-03;2289
1969-02-04;2322
1969-02-05;2287
1969-02-06;2212
1969-02-07;2380
1969-02-08;2305
1969-02-09;2180
1969-02-10;2405
1969-02-11;2378
1969-02-12;2403
1969-02-13;2368
1969-02-14;2545
1969-02-15;2429
1969-02-16;2210
1969-02-17;2388
1969-02-18;2537
1969-02-19;2490
1969-02-20;2495
1969-02-21;2495
1969-02-22;2500
1969-02-23;2316
1969-02-24;2448
1969-02-25;2370
1969-02-26;2414
1969-02-27;2379
1969-02-28;2522
1969-03-01;2457
1969-03-02;2318
1969-03-03;2543
1969-03-04;2451
1969-03-05;2535
1969-03-06;2481
1969-03-07;2501
1969-03-08;2450
1969-03-09;2238
1969-03-10;2501
1969-03-11;2531
1969-03-12;2508
1969-03-13;2393
1969-03-14;2508
1969-03-15;2440
1969-03-16;2244
1969-03-17;2494
1969-03-18;2387
1969-03-19;2414
1969-03-20;2380
1969-03-21;2384
1969-03-22;2339
1969-03-23;2164
1969-03-24;2445
1969-03-25;2338
1969-03-26;2380
1969-03-27;2487
1969-03-28;2486
1969-03-29;2344
1969-03-30;2216
1969-03-31;2514
1969-04-01;2443
1969-04-02;2493
1969-04-03;2334
1969-04-04;2368
1969-04-05;2367
1969-04-06;2251
1969-04-07;2176
1969-04-08;2401
1969-04-09;2547
1969-04-10;2431
1969-04-11;2428
1969-04-12;2389
1969-04-13;2221
1969-04-14;2327
1969-04-15;2490
1969-04-16;2372
1969-04-17;2359
1969-04-18;2395
1969-04-19;2359
1969-04-20;2289
1969-04-21;2493
1969-04-22;2531
1969-04-23;2456
1969-04-24;2455
1969-04-25;2455
1969-04-26;2448
1969-04-27;2285
1969-04-28;2431
1969-04-29;2511
1969-04-30;2513
1969-05-01;2343
1969-05-02;2654
1969-05-03;2660
1969-05-04;2340
1969-05-05;2524
1969-05-06;2569
1969-05-07;2520
1969-05-08;2538
1969-05-09;2538
1969-05-10;2634
1969-05-11;2376
1969-05-12;2749
1969-05-13;2805
1969-05-14;2692
1969-05-15;2322
1969-05-16;2495
1969-05-17;2484
1969-05-18;2286
1969-05-19;2468
1969-05-20;2481
1969-05-21;2492
1969-05-22;2399
1969-05-23;2472
1969-05-24;2538
1969-05-25;2243
1969-05-26;2225
1969-05-27;2417
1969-05-28;2438
1969-05-29;2432
1969-05-30;2442
1969-05-31;2320
1969-06-01;2448
1969-06-02;2347
1969-06-03;2429
1969-06-04;2415
1969-06-05;2324
1969-06-06;2360
1969-06-07;2351
1969-06-08;2256
1969-06-09;2490
1969-06-10;2484
1969-06-11;2453
1969-06-12;2425
1969-06-13;2422
1969-06-14;2451
1969-06-15;2282
1969-06-16;2328
1969-06-17;2353
1969-06-18;2407
1969-06-19;2319
1969-06-20;2357
1969-06-21;2365
1969-06-22;2169
1969-06-23;2351
1969-06-24;2362
1969-06-25;2322
1969-06-26;2370
1969-06-27;2271
1969-06-28;2319
1969-06-29;2194
1969-06-30;2428
1969-07-01;2362
1969-07-02;2389
1969-07-03;2453
1969-07-04;2359
1969-07-05;2517
1969-07-06;2229
1969-07-07;2358
1969-07-08;2266
1969-07-09;2261
1969-07-10;2298
1969-07-11;2308
1969-07-12;2341
1969-07-13;2134
1969-07-14;2161
1969-07-15;2490
1969-07-16;2565
1969-07-17;2456
1969-07-18;2314
1969-07-19;2305
1969-07-20;2197
1969-07-21;2291
1969-07-22;2396
1969-07-23;2420
1969-07-24;2504
1969-07-25;2377
1969-07-26;2305
1969-07-27;2163
1969-07-28;2355
1969-07-29;2402
1969-07-30;2202
1969-07-31;2181
1969-08-01;2245
1969-08-02;2139
1969-08-03;1999
1969-08-04;2102
1969-08-05;2317
1969-08-06;2365
1969-08-07;2193
1969-08-08;2376
1969-08-09;2279
1969-08-10;2097
1969-08-11;2279
1969-08-12;2262
1969-08-13;2253
1969-08-14;2209
1969-08-15;2140
1969-08-16;2072
1969-08-17;2029
1969-08-18;2176
1969-08-19;2236
1969-08-20;2250
1969-08-21;2179
1969-08-22;2183
1969-08-23;2198
1969-08-24;2024
1969-08-25;2132
1969-08-26;2228
1969-08-27;2144
1969-08-28;2165
1969-08-29;2211
1969-08-30;2124
1969-08-31;2080
1969-09-01;2130
1969-09-02;2299
1969-09-03;2242
1969-09-04;2276
1969-09-05;2184
1969-09-06;2196
1969-09-07;2090
1969-09-08;2271
1969-09-09;2249
1969-09-10;2286
1969-09-11;2267
1969-09-12;2369
1969-09-13;2344
1969-09-14;2099
1969-09-15;2286
1969-09-16;2336
1969-09-17;2428
1969-09-18;2348
1969-09-19;2334
1969-09-20;2323
1969-09-21;2128
1969-09-22;2274
1969-09-23;2402
1969-09-24;2373
1969-09-25;2334
1969-09-26;2415
1969-09-27;2411
1969-09-28;2165
1969-09-29;2402
1969-09-30;2326
1969-10-01;2348
1969-10-02;2312
1969-10-03;2287
1969-10-04;2331
1969-10-05;2145
1969-10-06;2334
1969-10-07;2264
1969-10-08;2382
1969-10-09;2328
1969-10-10;2314
1969-10-11;2218
1969-10-12;2113
1969-10-13;2231
1969-10-14;2254
1969-10-15;2258
1969-10-16;2199
1969-10-17;2249
1969-10-18;2177
1969-10-19;2051
1969-10-20;2322
1969-10-21;2202
1969-10-22;2308
1969-10-23;2132
1969-10-24;2165
1969-10-25;2190
1969-10-26;1955
1969-10-27;2092
1969-10-28;2162
1969-10-29;2154
1969-10-30;2125
1969-10-31;2175
1969-11-01;1984
1969-11-02;1949
1969-11-03;2235
1969-11-04;2274
1969-11-05;2281
1969-11-06;2102
1969-11-07;2194
1969-11-08;2299
1969-11-09;1983
1969-11-10;2177
1969-11-11;2183
1969-11-12;2269
1969-11-13;2154
1969-11-14;2245
1969-11-15;2102
1969-11-16;2009
1969-11-17;2289
1969-11-18;2154
1969-11-19;2230
1969-11-20;2118
1969-11-21;2262
1969-11-22;2142
1969-11-23;2058
1969-11-24;2160
1969-11-25;2197
1969-11-26;2288
1969-11-27;2099
1969-11-28;2131
1969-11-29;2175
1969-11-30;1967
1969-12-01;2176
1969-12-02;2278
1969-12-03;2284
1969-12-04;2196
1969-12-05;2149
1969-12-06;2226
1969-12-07;2147
1969-12-08;2303
1969-12-09;2258
1969-12-10;2247
1969-12-11;2198
1969-12-12;2185
1969-12-13;2270
1969-12-14;2196
1969-12-15;2370
1969-12-16;2382
1969-12-17;2349
1969-12-18;2210
1969-12-19;2200
1969-12-20;2170
1969-12-21;2000
1969-12-22;2316
1969-12-23;2264
1969-12-24;2105
1969-12-25;2118
1969-12-26;2288
1969-12-27;2246
1969-12-28;2103
1969-12-29;2256
1969-12-30;2195
1969-12-31;2111
1970-01-01;2097
1970-01-02;2238
1970-01-03;2301
1970-01-04;2142
1970-01-05;2380
1970-01-06;2280
1970-01-07;2232
1970-01-08;2167
1970-01-09;2231
1970-01-10;2216
1970-01-11;2181
1970-01-12;2385
1970-01-13;2319
1970-01-14;2204
1970-01-15;2284
1970-01-16;2316
1970-01-17;2182
1970-01-18;1998
1970-01-19;2198
1970-01-20;2253
1970-01-21;2213
1970-01-22;2155
1970-01-23;2199
1970-01-24;2239
1970-01-25;2150
1970-01-26;2368
1970-01-27;2225
1970-01-28;2207
1970-01-29;2297
1970-01-30;2240
1970-01-31;2256
1970-02-01;2040
1970-02-02;2289
1970-02-03;2268
1970-02-04;2267
1970-02-05;2328
1970-02-06;2275
1970-02-07;2228
1970-02-08;2117
1970-02-09;2349
1970-02-10;2351
1970-02-11;2236
1970-02-12;2243
1970-02-13;2358
1970-02-14;2348
1970-02-15;2195
1970-02-16;2284
1970-02-17;2266
1970-02-18;2358
1970-02-19;2264
1970-02-20;2443
1970-02-21;2378
1970-02-22;2152
1970-02-23;2474
1970-02-24;2441
1970-02-25;2325
1970-02-26;2266
1970-02-27;2283
1970-02-28;2256
1970-03-01;2221
1970-03-02;2324
1970-03-03;2407
1970-03-04;2282
1970-03-05;2445
1970-03-06;2336
1970-03-07;2325
1970-03-08;2260
1970-03-09;2357
1970-03-10;2386
1970-03-11;2441
1970-03-12;2385
1970-03-13;2372
1970-03-14;2426
1970-03-15;2199
1970-03-16;2455
1970-03-17;2473
1970-03-18;2455
1970-03-19;2395
1970-03-20;2435
1970-03-21;2380
1970-03-22;2213
1970-03-23;2403
1970-03-24;2424
1970-03-25;2408
1970-03-26;2437
1970-03-27;2440
1970-03-28;2350
1970-03-29;2285
1970-03-30;2319
1970-03-31;2433
1970-04-01;2371
1970-04-02;2367
1970-04-03;2328
1970-04-04;2413
1970-04-05;2323
1970-04-06;2497
1970-04-07;2538
1970-04-08;2358
1970-04-09;2518
1970-04-10;2523
1970-04-11;2583
1970-04-12;2316
1970-04-13;2462
1970-04-14;2524
1970-04-15;2316
1970-04-16;2445
1970-04-17;2601
1970-04-18;2471
1970-04-19;2202
1970-04-20;2356
1970-04-21;2377
1970-04-22;2488
1970-04-23;2400
1970-04-24;2446
1970-04-25;2468
1970-04-26;2397
1970-04-27;2630
1970-04-28;2439
1970-04-29;2537
1970-04-30;2476
1970-05-01;2331
1970-05-02;2466
1970-05-03;2398
1970-05-04;2664
1970-05-05;2650
1970-05-06;2606
1970-05-07;2406
1970-05-08;2608
1970-05-09;2521
1970-05-10;2361
1970-05-11;2505
1970-05-12;2581
1970-05-13;2503
1970-05-14;2619
1970-05-15;2665
1970-05-16;2492
1970-05-17;2299
1970-05-18;2186
1970-05-19;2465
1970-05-20;2535
1970-05-21;2622
1970-05-22;2457
1970-05-23;2460
1970-05-24;2306
1970-05-25;2615
1970-05-26;2599
1970-05-27;2532
1970-05-28;2466
1970-05-29;2476
1970-05-30;2369
1970-05-31;2246
1970-06-01;2418
1970-06-02;2496
1970-06-03;2488
1970-06-04;2431
1970-06-05;2546
1970-06-06;2548
1970-06-07;2323
1970-06-08;2441
1970-06-09;2554
1970-06-10;2529
1970-06-11;2431
1970-06-12;2416
1970-06-13;2475
1970-06-14;2216
1970-06-15;2454
1970-06-16;2522
1970-06-17;2451
1970-06-18;2333
1970-06-19;2428
1970-06-20;2376
1970-06-21;2159
1970-06-22;2490
1970-06-23;2610
1970-06-24;2566
1970-06-25;2361
1970-06-26;2446
1970-06-27;2559
1970-06-28;2205
1970-06-29;2432
1970-06-30;2455
1970-07-01;2363
1970-07-02;2387
1970-07-03;2399
1970-07-04;2317
1970-07-05;2237
1970-07-06;2444
1970-07-07;2589
1970-07-08;2628
1970-07-09;2421
1970-07-10;2429
1970-07-11;2388
1970-07-12;2332
1970-07-13;2493
1970-07-14;2340
1970-07-15;2291
1970-07-16;2342
1970-07-17;2373
1970-07-18;2478
1970-07-19;2292
1970-07-20;2405
1970-07-21;2388
1970-07-22;2423
1970-07-23;2393
1970-07-24;2452
1970-07-25;2422
1970-07-26;2151
1970-07-27;2347
1970-07-28;2624
1970-07-29;2415
1970-07-30;2388
1970-07-31;2316
1970-08-01;2394
1970-08-02;2265
1970-08-03;2440
1970-08-04;2406
1970-08-05;2434
1970-08-06;2422
1970-08-07;2274
1970-08-08;2367
1970-08-09;2105
1970-08-10;2239
1970-08-11;2276
1970-08-12;2239
1970-08-13;2206
1970-08-14;2235
1970-08-15;2025
1970-08-16;2090
1970-08-17;2170
1970-08-18;2259
1970-08-19;2252
1970-08-20;2226
1970-08-21;2187
1970-08-22;2092
1970-08-23;2041
1970-08-24;2226
1970-08-25;2314
1970-08-26;2151
1970-08-27;2166
1970-08-28;2209
1970-08-29;2145
1970-08-30;1983
1970-08-31;2142
1970-09-01;2149
1970-09-02;2136
1970-09-03;2230
1970-09-04;2067
1970-09-05;2075
1970-09-06;1893
1970-09-07;2117
1970-09-08;2214
1970-09-09;2121
1970-09-10;2166
1970-09-11;2140
1970-09-12;2140
1970-09-13;1877
1970-09-14;2310
1970-09-15;2317
1970-09-16;2308
1970-09-17;2164
1970-09-18;2311
1970-09-19;2262
1970-09-20;2210
1970-09-21;2329
1970-09-22;2403
1970-09-23;2281
1970-09-24;2220
1970-09-25;2286
1970-09-26;2364
1970-09-27;2195
1970-09-28;2305
1970-09-29;2361
1970-09-30;2266
1970-10-01;2260
1970-10-02;2327
1970-10-03;2194
1970-10-04;1920
1970-10-05;2257
1970-10-06;2255
1970-10-07;2229
1970-10-08;2102
1970-10-09;2163
1970-10-10;2163
1970-10-11;2014
1970-10-12;2137
1970-10-13;2165
1970-10-14;2090
1970-10-15;2258
1970-10-16;2231
1970-10-17;2155
1970-10-18;1976
1970-10-19;2167
1970-10-20;2323
1970-10-21;2178
1970-10-22;2198
1970-10-23;2264
1970-10-24;2178
1970-10-25;2080
1970-10-26;2276
1970-10-27;2316
1970-10-28;2234
1970-10-29;2193
1970-10-30;2312
1970-10-31;2300
1970-11-01;2024
1970-11-02;2279
1970-11-03;2404
1970-11-04;2314
1970-11-05;2252
1970-11-06;2274
1970-11-07;2280
1970-11-08;2026
1970-11-09;2215
1970-11-10;2399
1970-11-11;2268
1970-11-12;2378
1970-11-13;2296
1970-11-14;2238
1970-11-15;2190
1970-11-16;2319
1970-11-17;2422
1970-11-18;2413
1970-11-19;2366
1970-11-20;2280
1970-11-21;2298
1970-11-22;2172
1970-11-23;2411
1970-11-24;2327
1970-11-25;2383
1970-11-26;2370
1970-11-27;2351
1970-11-28;2345
1970-11-29;2130
1970-11-30;2418
1970-12-01;2497
1970-12-02;2434
1970-12-03;2397
1970-12-04;2370
1970-12-05;2457
1970-12-06;2209
1970-12-07;2378
1970-12-08;2440
1970-12-09;2312
1970-12-10;2396
1970-12-11;2454
1970-12-12;2462
1970-12-13;2272
1970-12-14;2460
1970-12-15;2477
1970-12-16;2440
1970-12-17;2406
1970-12-18;2459
1970-12-19;2374
1970-12-20;2234
1970-12-21;2499
1970-12-22;2470
1970-12-23;2325
1970-12-24;2310
1970-12-25;2215
1970-12-26;2409
1970-12-27;2264
1970-12-28;2451
1970-12-29;2602
1970-12-30;2412
1970-12-31;2231
1971-01-01;2121
1971-01-02;2246
1971-01-03;2263
1971-01-04;2396
1971-01-05;2501
1971-01-06;2442
1971-01-07;2417
1971-01-08;2446
1971-01-09;2326
1971-01-10;2172
1971-01-11;2474
1971-01-12;2443
1971-01-13;2286
1971-01-14;2331
1971-01-15;2423
1971-01-16;2384
1971-01-17;2246
1971-01-18;2439
1971-01-19;2464
1971-01-20;2541
1971-01-21;2454
1971-01-22;2459
1971-01-23;2440
1971-01-24;2300
1971-01-25;2487
1971-01-26;2448
1971-01-27;2451
1971-01-28;2403
1971-01-29;2421
1971-01-30;2380
1971-01-31;2324
1971-02-01;2476
1971-02-02;2444
1971-02-03;2360
1971-02-04;2319
1971-02-05;2441
1971-02-06;2445
1971-02-07;2243
1971-02-08;2320
1971-02-09;2508
1971-02-10;2429
1971-02-11;2420
1971-02-12;2414
1971-02-13;2454
1971-02-14;2239
1971-02-15;2499
1971-02-16;2594
1971-02-17;2500
1971-02-18;2440
1971-02-19;2457
1971-02-20;2495
1971-02-21;2321
1971-02-22;2426
1971-02-23;2353
1971-02-24;2379
1971-02-25;2359
1971-02-26;2580
1971-02-27;2448
1971-02-28;2307
1971-03-01;2438
1971-03-02;2514
1971-03-03;2570
1971-03-04;2504
1971-03-05;2459
1971-03-06;2484
1971-03-07;2332
1971-03-08;2494
1971-03-09;2588
1971-03-10;2491
1971-03-11;2430
1971-03-12;2445
1971-03-13;2469
1971-03-14;2347
1971-03-15;2456
1971-03-16;2538
1971-03-17;2423
1971-03-18;2521
1971-03-19;2448
1971-03-20;2493
1971-03-21;2202
1971-03-22;2415
1971-03-23;2462
1971-03-24;2368
1971-03-25;2476
1971-03-26;2499
1971-03-27;2418
1971-03-28;2211
1971-03-29;2467
1971-03-30;2577
1971-03-31;2530
1971-04-01;2578
1971-04-02;2660
1971-04-03;2616
1971-04-04;2441
1971-04-05;2484
1971-04-06;2656
1971-04-07;2605
1971-04-08;2633
1971-04-09;2661
1971-04-10;2500
1971-04-11;2334
1971-04-12;2364
1971-04-13;2594
1971-04-14;2591
1971-04-15;2632
1971-04-16;2709
1971-04-17;2613
1971-04-18;2342
1971-04-19;2641
1971-04-20;2801
1971-04-21;2628
1971-04-22;2733
1971-04-23;2681
1971-04-24;2673
1971-04-25;2385
1971-04-26;2504
1971-04-27;2630
1971-04-28;2649
1971-04-29;2528
1971-04-30;2649
1971-05-01;2589
1971-05-02;2468
1971-05-03;2561
1971-05-04;2806
1971-05-05;2743
1971-05-06;2690
1971-05-07;2750
1971-05-08;2748
1971-05-09;2560
1971-05-10;2745
1971-05-11;2784
1971-05-12;2703
1971-05-13;2736
1971-05-14;2735
1971-05-15;2707
1971-05-16;2439
1971-05-17;2750
1971-05-18;2662
1971-05-19;2669
1971-05-20;2526
1971-05-21;2637
1971-05-22;2656
1971-05-23;2338
1971-05-24;2585
1971-05-25;2664
1971-05-26;2595
1971-05-27;2597
1971-05-28;2505
1971-05-29;2599
1971-05-30;2289
1971-05-31;2323
1971-06-01;2450
1971-06-02;2651
1971-06-03;2671
1971-06-04;2591
1971-06-05;2542
1971-06-06;2327
1971-06-07;2425
1971-06-08;2518
1971-06-09;2470
1971-06-10;2594
1971-06-11;2538
1971-06-12;2461
1971-06-13;2303
1971-06-14;2606
1971-06-15;2528
1971-06-16;2476
1971-06-17;2393
1971-06-18;2477
1971-06-19;2454
1971-06-20;2323
1971-06-21;2652
1971-06-22;2623
1971-06-23;2537
1971-06-24;2504
1971-06-25;2485
1971-06-26;2502
1971-06-27;2244
1971-06-28;2531
1971-06-29;2427
1971-06-30;2567
1971-07-01;2422
1971-07-02;2589
1971-07-03;2591
1971-07-04;2436
1971-07-05;2556
1971-07-06;2584
1971-07-07;2536
1971-07-08;2546
1971-07-09;2629
1971-07-10;2576
1971-07-11;2332
1971-07-12;2537
1971-07-13;2615
1971-07-14;2338
1971-07-15;2447
1971-07-16;2415
1971-07-17;2452
1971-07-18;2131
1971-07-19;2324
1971-07-20;2383
1971-07-21;2374
1971-07-22;2451
1971-07-23;2410
1971-07-24;2446
1971-07-25;2189
1971-07-26;2416
1971-07-27;2562
1971-07-28;2446
1971-07-29;2436
1971-07-30;2420
1971-07-31;2484
1971-08-01;2225
1971-08-02;2433
1971-08-03;2564
1971-08-04;2459
1971-08-05;2421
1971-08-06;2377
1971-08-07;2407
1971-08-08;2181
1971-08-09;2344
1971-08-10;2443
1971-08-11;2396
1971-08-12;2288
1971-08-13;2297
1971-08-14;2348
1971-08-15;2198
1971-08-16;2332
1971-08-17;2312
1971-08-18;2495
1971-08-19;2479
1971-08-20;2374
1971-08-21;2235
1971-08-22;2122
1971-08-23;2211
1971-08-24;2389
1971-08-25;2360
1971-08-26;2330
1971-08-27;2278
1971-08-28;2192
1971-08-29;2111
1971-08-30;2330
1971-08-31;2349
1971-09-01;2310
1971-09-02;2300
1971-09-03;2340
1971-09-04;2320
1971-09-05;2248
1971-09-06;2361
1971-09-07;2349
1971-09-08;2343
1971-09-09;2394
1971-09-10;2355
1971-09-11;2303
1971-09-12;2149
1971-09-13;2353
1971-09-14;2459
1971-09-15;2431
1971-09-16;2317
1971-09-17;2356
1971-09-18;2549
1971-09-19;2313
1971-09-20;2561
1971-09-21;2465
1971-09-22;2537
1971-09-23;2575
1971-09-24;2525
1971-09-25;2408
1971-09-26;2357
1971-09-27;2534
1971-09-28;2563
1971-09-29;2421
1971-09-30;2431
1971-10-01;2489
1971-10-02;2397
1971-10-03;2261
1971-10-04;2391
1971-10-05;2385
1971-10-06;2424
1971-10-07;2374
1971-10-08;2314
1971-10-09;2313
1971-10-10;2116
1971-10-11;2340
1971-10-12;2477
1971-10-13;2372
1971-10-14;2317
1971-10-15;2367
1971-10-16;2203
1971-10-17;2153
1971-10-18;2383
1971-10-19;2334
1971-10-20;2324
1971-10-21;2222
1971-10-22;2308
1971-10-23;2266
1971-10-24;2063
1971-10-25;2293
1971-10-26;2324
1971-10-27;2345
1971-10-28;2183
1971-10-29;2226
1971-10-30;2330
